article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;number_internal_references;complexity_with_references;clump_size
CRR_273;38;28;198;38,64060414026193;13;5,390120975310237e+16;339
CRR_274;15;11;98;39,96657518796994;1;52,510000000000005;1
CRR_275;2;2;28;47,981780219780234;0;2;1
CRR_276;8;5;67;27,38446685303518;3;5,390120975310237e+16;339
CRR_277;12;8;88;26,823787878787897;0;12;1
CRR_278;5;4;55;37,740735294117684;1;5,390120975310237e+16;339
CRR_279;7;3;16;-21,84207792207792;0;7;1
CRR_280;11;7;87;28,88021739130437;1;5,390120975310237e+16;339
CRR_281;4;4;45;52,68402985074627;1;5,390120975310237e+16;339
CRR_282;45;37;234;47,77315514993481;1;5,390120975310237e+16;339
CRR_283;35;26;120;39,94853951022472;2;5,390120975310237e+16;339
CRR_284;49;34;270;33,6073412322275;5;5,390120975310237e+16;339
CRR_285;46;28;249;21,390817837465562;1;5,390120975310237e+16;339
CRR_286;77;51;211;28,982500000000016;1;140,8;1
CRR_287;58;30;153;3,6447202797203033;0;58;1
CRR_288;47;14;67;-82,94322834645666;3;5,390120975310237e+16;339
CRR_289;25;18;110;35,81046143250691;2;5,390120975310237e+16;339
CRR_290;40;27;195;31,098939114391158;1;49,9;1
CRR_291;29;18;147;23,411071428571432;1;5,390120975310237e+16;339
CRR_292;74;47;274;26,123242268041253;2;5,390120975310237e+16;339
CRR_293;70;43;183;22,62734639498433;3;5,390120975310237e+16;339
CRR_294;69;38;227;11,265318217979342;2;5,390120975310237e+16;339
CRR_295;14;6;54;-16,53681818181815;3;161,44495500000005;2
CRR_296;34;18;136;8,19346160295106;0;34;1
CRR_297;21;14;53;29,56511695906434;2;161,44495500000005;2
CRR_298;14;8;161;13,818836032388703;2;73,96100000000001;1
CRR_299;37;14;173;-40,613828740157444;2;5,390120975310237e+16;339
CRR_300;16;4;54;-123,19264248704661;1;5,390120975310237e+16;339
CRR_301;1;1;44;41,44357142857146;4;5,390120975310237e+16;339
CRR_302;5;3;30;20,659821428571462;1;5,390120975310237e+16;339
CRR_303;16;10;117;25,799000000000035;2;5,390120975310237e+16;339
CRR_304;13;10;96;40,367208333333366;3;5,390120975310237e+16;339
CRR_305;13;7;146;10,074431599229314;1;5,390120975310237e+16;339
CRR_306;13;9;75;36,513527397260304;2;5,390120975310237e+16;339
CRR_307;15;6;27;-28,332999999999984;2;5,390120975310237e+16;339
CRR_308;22;15;97;31,734908719346038;1;5,390120975310237e+16;339
CRR_309;10;7;59;33,82068181818184;2;5,390120975310237e+16;339
CRR_310;6;3;12;4,882727272727294;0;6;1
CRR_311;18;12;107;31,01767241379312;5;5,390120975310237e+16;339
CRR_312;25;16;114;26,28566037735851;6;5,390120975310237e+16;339
CRR_313;5;3;51;25,217241379310366;0;5;1
CRR_314;33;20;132;19,638288836846243;3;1,7787399218523786e+17;1
CRR_315;15;10;84;32,91080788804072;1;40,3;1
CRR_316;23;14;117;21,658614447345542;0;23;1
