article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;sentences;words;syllables;words_per_sentence;syllables_per_word;number_internal_references;complexity_with_references;clump_size
CRR_108;0;0;30;40,46100000000001;5;150;241;30,0;1,6066666666666667;4;9,772559929747087e+22;1
CRR_109;2;1;8;23,932500000000033;2;27;54;13,5;2,0;0;2;1
CRR_110;24;15;109;23,43542523564696;12;389;692;32,416666666666664;1,7789203084832905;13;2,2210363476697925e+22;475
CRR_111;21;14;100;28,856115384615435;10;325;557;32,5;1,7138461538461538;7;2,2210363476697925e+22;475
CRR_112;7;2;32;-92,7124390243902;1;123;254;123,0;2,065040650406504;0;7;1
CRR_113;61;35;226;15,821918819188227;21;813;1458;38,714285714285715;1,7933579335793357;1;2,2210363476697925e+22;475
CRR_114;12;10;98;49,5550606796117;12;309;479;25,75;1,5501618122977345;2;68,10000000000001;1
CRR_115;25;16;170;25,36235095447873;15;454;809;30,266666666666666;1,7819383259911894;4;2,2210363476697925e+22;475
CRR_116;21;15;136;34,99922932330827;14;399;674;28,5;1,6892230576441103;3;2,2210363476697925e+22;475
CRR_117;14;8;57;14,178155555555605;9;250;486;27,77777777777778;1,944;4;2,2210363476697925e+22;475
CRR_118;12;4;21;-62,181956521739124;1;92;191;92,0;2,0760869565217392;0;12;1
CRR_119;23;16;105;34,77281065088761;13;338;582;26,0;1,7218934911242603;3;2,2210363476697925e+22;475
CRR_120;32;19;129;18,87713880288959;6;323;509;53,833333333333336;1,5758513931888545;2;133,53000000000003;1
CRR_121;8;8;57;56,48572745901643;8;183;275;22,875;1,5027322404371584;1;2,2210363476697925e+22;475
